Pop	Model	Folds	log-likelihood	AIC	chi-squared	theta	initial_params	optimised_params	optimised_params_labels
ahya.fold.Amil.major.mask	bottle	[3]	-2599.48	5204.96	5132.39	1343103.41	3.0,3.0,3.0	0.2938,1.4117,1.2213	nuB, nuF, T
ahya.fold.Amil.major.mask	bottle_neck	[3]	-83658.91	167325.82	165829.62	56564077.28	3.0,3.0,3.0,3.0	0.0951,0.0208,0.9415,5.3465	nuB, nuF, TB, TF
ahya.fold.group1.major.mask	size_change	[3]	-4105.07	8214.14	8787.56	122581.48	3.0,3.0	2.7736,0.4621	nu, T
ahya.fold.group1.major.mask	bottle	[3]	-4940.87	9887.74	10501.77	181660.57	3.0,3.0,3.0	0.2758,2.114,1.0705	nuB, nuF, T
ahya.fold.group1.major.mask	bottle_neck	[3]	-3527.88	7063.76	7386.61	5804729.52	3.0,3.0,3.0,3.0	0.001,0.0585,0.004,0.0136	nuB, nuF, TB, TF
ahya.fold.group2.major.mask	size_change	[3]	-2909.87	5823.74	6058.94	148942.84	3.0,3.0	3.1774,0.5763	nu, T
ahya.fold.group2.major.mask	bottle	[3]	-4237.94	8481.88	9106.58	659667.37	3.0,3.0,3.0	0.0122,0.7595,1.1579	nuB, nuF, T
ahya.fold.group2.major.mask	bottle_neck	[3]	-2909.87	5827.74	6058.98	65456.57	3.0,3.0,3.0,3.0	2.2754,7.2299,61.9601,1.3113	nuB, nuF, TB, TF
ahya.fold.group3.major.mask	size_change	[3]	-82639.33	165282.66	159147.41	283018.18	3.0,3.0	1.0015,137.766	nu, T
ahya.fold.group3.major.mask	bottle	[3]	-2339.79	4685.58	4840.04	158124.6	3.0,3.0,3.0	19.9775,1.9738,0.4645	nuB, nuF, T
ahya.fold.group3.major.mask	bottle_neck	[3]	-2953.03	5914.06	6074.06	935478.44	3.0,3.0,3.0,3.0	0.001,0.529,0.002,0.1345	nuB, nuF, TB, TF
ahya.fold.group4.major.mask	size_change	[3]	-3625.73	7255.46	7697.5	178885.1	3.0,3.0	3.2428,0.5697	nu, T
ahya.fold.group4.major.mask	bottle	[3]	-4835.78	9677.56	10249.49	237409.77	3.0,3.0,3.0	0.312,2.7814,1.4459	nuB, nuF, T
ahya.fold.group4.major.mask	bottle_neck	[3]	-5031.39	10070.78	11341.85	160427.27	3.0,3.0,3.0,3.0	0.0074,3.388,0.001,0.975	nuB, nuF, TB, TF
ahya.fold.Amil.major.mask	size_change	[3]	-2109.71	4223.42	4138.06	862927.01	4.0,4.0	2.0421,0.4473	nu, T
ahya.fold.Amil.major.mask	bottle	[3]	-1421.37	2848.74	2737.66	889817.7	4.0,4.0,4.0	11.9211,1.1925,0.2784	nuB, nuF, T
ahya.fold.Amil.major.mask	bottle_neck	[3]	-2109.68	4227.36	4138.02	862910.08	4.0,4.0,4.0,4.0	1.492,2.0421,0.001,0.4467	nuB, nuF, TB, TF
ahya.fold.group1.major.mask	size_change	[3]	-4105.07	8214.14	8787.51	122582.5	4.0,4.0	2.7736,0.4621	nu, T
ahya.fold.group1.major.mask	bottle_neck	[3]	-3513.81	7035.62	7352.56	492225.84	4.0,4.0,4.0,4.0	0.001,0.6897,0.0015,0.1619	nuB, nuF, TB, TF
ahya.fold.group2.major.mask	size_change	[3]	-2909.87	5823.74	6058.95	148943.0	4.0,4.0	3.1774,0.5762	nu, T
ahya.fold.group2.major.mask	bottle	[3]	-2247.8	4501.6	4636.12	154423.72	4.0,4.0,4.0	13.7309,2.0777,0.4332	nuB, nuF, T
ahya.fold.group2.major.mask	bottle_neck	[3]	-2909.87	5827.74	6058.98	159839.3	4.0,4.0,4.0,4.0	0.9318,2.9608,13.0453,0.537	nuB, nuF, TB, TF
ahya.fold.group3.major.mask	size_change	[3]	-82639.33	165282.66	159147.41	570484.6	4.0,4.0	0.4968,21.3517	nu, T
ahya.fold.group3.major.mask	bottle	[3]	-4615.96	9237.92	9813.21	4215646.07	4.0,4.0,4.0	0.0016,0.1272,0.1965	nuB, nuF, T
ahya.fold.group3.major.mask	bottle_neck	[3]	-3341.74	6691.48	6980.34	182539.47	4.0,4.0,4.0,4.0	0.825,2.7169,145.6729,0.5338	nuB, nuF, TB, TF
ahya.fold.group4.major.mask	size_change	[3]	-3625.73	7255.46	7697.62	178881.67	4.0,4.0	3.2429,0.5697	nu, T
ahya.fold.group4.major.mask	bottle	[3]	-2965.68	5937.36	6259.83	184663.35	4.0,4.0,4.0	11.6277,2.2269,0.4423	nuB, nuF, T
ahya.fold.group4.major.mask	bottle_neck	[3]	-3625.73	7259.46	7697.64	99712.46	4.0,4.0,4.0,4.0	1.794,5.8176,28.4858,1.022	nuB, nuF, TB, TF
ahya.fold.Amil.major.mask	size_change	[3]	-2109.71	4223.42	4138.05	862931.54	5.0,5.0	2.0421,0.4473	nu, T
ahya.fold.Amil.major.mask	bottle	[3]	-2599.5	5205.0	5132.38	1224849.75	5.0,5.0,5.0	0.3395,1.548,1.2943	nuB, nuF, T
ahya.fold.Amil.major.mask	bottle_neck	[3]	-2109.7	4227.4	4138.02	899371.63	5.0,5.0,5.0,5.0	0.9595,1.9593,7.4569,0.4292	nuB, nuF, TB, TF
ahya.fold.group1.major.mask	size_change	[3]	-4105.07	8214.14	8787.45	122583.63	5.0,5.0	2.7735,0.4621	nu, T
ahya.fold.group1.major.mask	bottle	[3]	-4940.67	9887.34	10501.29	211129.28	5.0,5.0,5.0	0.2148,1.8189,0.9662	nuB, nuF, T
ahya.fold.group1.major.mask	bottle_neck	[3]	-3529.55	7067.1	7391.74	6398301.86	5.0,5.0,5.0,5.0	0.001,0.053,0.0041,0.0123	nuB, nuF, TB, TF
ahya.fold.group2.major.mask	size_change	[3]	-2909.87	5823.74	6059.03	148940.1	5.0,5.0	3.1774,0.5763	nu, T
ahya.fold.group2.major.mask	bottle	[3]	-3925.17	7856.34	8188.34	169985.56	5.0,5.0,5.0	0.405,3.1446,1.6585	nuB, nuF, T
ahya.fold.group2.major.mask	bottle_neck	[3]	-2909.87	5827.74	6058.98	106587.91	5.0,5.0,5.0,5.0	1.3974,4.44,43.8139,0.8053	nuB, nuF, TB, TF
ahya.fold.group3.major.mask	size_change	[3]	-3341.74	6687.48	6980.32	150592.27	5.0,5.0	3.2933,0.647	nu, T
ahya.fold.group3.major.mask	bottle	[3]	-2339.79	4685.58	4840.02	158125.13	5.0,5.0,5.0	19.9776,1.9738,0.4645	nuB, nuF, T
ahya.fold.group3.major.mask	bottle_neck	[3]	-2964.64	5937.28	6099.4	8257369.32	5.0,5.0,5.0,5.0	0.001,0.0599,0.0042,0.0151	nuB, nuF, TB, TF
ahya.fold.group4.major.mask	size_change	[3]	-3625.73	7255.46	7697.55	178883.93	5.0,5.0	3.2429,0.5697	nu, T
ahya.fold.group4.major.mask	bottle	[3]	-4835.7	9677.4	10250.17	1885251.02	5.0,5.0,5.0	0.0187,0.3503,0.2437	nuB, nuF, T
ahya.fold.group4.major.mask	bottle_neck	[3]	-4602.17	9212.34	10340.01	166203.9	5.0,5.0,5.0,5.0	0.0067,3.304,0.001,0.911	nuB, nuF, TB, TF
ahya.fold.Amil.major.mask	size_change	[3]	-2109.71	4223.42	4138.05	862933.58	6.0,6.0	2.0421,0.4473	nu, T
ahya.fold.Amil.major.mask	bottle	[3]	-2599.5	5205.0	5132.31	1247662.93	6.0,6.0,6.0	0.3296,1.5197,1.28	nuB, nuF, T
ahya.fold.Amil.major.mask	bottle_neck	[3]	-2109.71	4227.42	4138.04	417276.46	6.0,6.0,6.0,6.0	2.068,4.2231,29.8579,0.925	nuB, nuF, TB, TF
ahya.fold.group1.major.mask	size_change	[3]	-4105.07	8214.14	8787.61	122580.95	6.0,6.0	2.7736,0.4621	nu, T
ahya.fold.group1.major.mask	bottle	[3]	-4940.55	9887.1	10500.94	436387.87	6.0,6.0,6.0	0.0743,0.88,0.5409	nuB, nuF, T
ahya.fold.group1.major.mask	bottle_neck	[3]	-3932.12	7872.24	8362.67	226443.49	6.0,6.0,6.0,6.0	0.4404,1.5012,0.8192,0.272	nuB, nuF, TB, TF
ahya.fold.group2.major.mask	size_change	[3]	-2909.87	5823.74	6059.02	148940.26	6.0,6.0	3.1774,0.5763	nu, T
ahya.fold.group2.major.mask	bottle	[3]	-3925.17	7856.34	8188.68	171471.19	6.0,6.0,6.0	0.3984,3.1171,1.6508	nuB, nuF, T
ahya.fold.group2.major.mask	bottle_neck	[3]	-2909.87	5827.74	6058.98	105888.15	6.0,6.0,6.0,6.0	1.4066,4.4693,35.0548,0.8106	nuB, nuF, TB, TF
ahya.fold.group3.major.mask	size_change	[3]	-3341.74	6687.48	6980.26	150593.8	6.0,6.0	3.2933,0.647	nu, T
ahya.fold.group3.major.mask	bottle	[3]	-2339.79	4685.58	4840.03	158124.93	6.0,6.0,6.0	19.978,1.9738,0.4645	nuB, nuF, T
ahya.fold.group3.major.mask	bottle_neck	[3]	-82639.33	165286.66	159147.41	245593.72	6.0,6.0,6.0,6.0	12.1939,1.1541,9.9145,46.6687	nuB, nuF, TB, TF
ahya.fold.group4.major.mask	size_change	[3]	-3625.73	7255.46	7697.6	178881.78	6.0,6.0	3.2429,0.5697	nu, T
ahya.fold.group4.major.mask	bottle	[3]	-2965.68	5937.36	6259.86	184662.3	6.0,6.0,6.0	11.6277,2.2269,0.4423	nuB, nuF, T
ahya.fold.group4.major.mask	bottle_neck	[3]	-3578.23	7164.46	7564.89	104548556.96	6.0,6.0,6.0,6.0	0.0016,0.0055,0.0152,0.001	nuB, nuF, TB, TF
ahya.fold.Amil.major.mask	size_change	[3]	-2109.71	4223.42	4138.07	862928.15	7.0,7.0	2.0421,0.4473	nu, T
ahya.fold.Amil.major.mask	bottle	[3]	-2996.39	5998.78	6002.74	477722.76	7.0,7.0,7.0	0.025,3.7208,17.4457	nuB, nuF, T
ahya.fold.Amil.major.mask	bottle_neck	[3]	-2109.71	4227.42	4138.03	383191215.52	7.0,7.0,7.0,7.0	0.0023,0.0046,1.1847,0.001	nuB, nuF, TB, TF
ahya.fold.group1.major.mask	size_change	[3]	-4105.07	8214.14	8787.35	122585.66	7.0,7.0	2.7735,0.4621	nu, T
ahya.fold.group1.major.mask	bottle	[3]	-4940.55	9887.1	10501.04	469861.22	7.0,7.0,7.0	0.0672,0.8173,0.5078	nuB, nuF, T
ahya.fold.group1.major.mask	bottle_neck	[3]	-4105.07	8218.14	8787.5	13200.96	7.0,7.0,7.0,7.0	9.2859,25.7552,149.993,4.291	nuB, nuF, TB, TF
ahya.fold.group2.major.mask	size_change	[3]	-2909.87	5823.74	6059.05	148939.17	7.0,7.0	3.1774,0.5763	nu, T
ahya.fold.group2.major.mask	bottle	[3]	-4237.94	8481.88	9106.94	5551.25	7.0,7.0,7.0	2.6925,90.2589,116.8626	nuB, nuF, T
ahya.fold.group2.major.mask	bottle_neck	[3]	-2909.87	5827.74	6058.98	64076.44	7.0,7.0,7.0,7.0	2.3244,7.3856,61.9049,1.3395	nuB, nuF, TB, TF
ahya.fold.group3.major.mask	size_change	[3]	-3341.74	6687.48	6980.35	150590.95	7.0,7.0	3.2933,0.6471	nu, T
ahya.fold.group3.major.mask	bottle	[3]	-2339.79	4685.58	4840.02	158125.03	7.0,7.0,7.0	19.9775,1.9738,0.4645	nuB, nuF, T
ahya.fold.group3.major.mask	bottle_neck	[3]	-2954.5	5917.0	6077.46	1901374.48	7.0,7.0,7.0,7.0	0.001,0.2603,0.0027,0.0661	nuB, nuF, TB, TF
ahya.fold.group4.major.mask	size_change	[3]	-3625.73	7255.46	7697.55	178883.43	7.0,7.0	3.2429,0.5697	nu, T
ahya.fold.group4.major.mask	bottle	[3]	-5323.9	10653.8	11678.86	279183.04	7.0,7.0,7.0	0.0093,2.197,4.2442	nuB, nuF, T
ahya.fold.group4.major.mask	bottle_neck	[3]	-3625.52	7259.04	7696.93	519996.37	7.0,7.0,7.0,7.0	0.3439,1.1156,3.1577,0.196	nuB, nuF, TB, TF
ahya.fold.Amil.major.mask	size_change	[3]	-2109.71	4223.42	4138.06	862931.73	8.0,8.0	2.0421,0.4473	nu, T
ahya.fold.Amil.major.mask	bottle_neck	[3]	-2058.57	4125.14	4031.07	1442595.48	8.0,8.0,8.0,8.0	0.5371,1.2208,1.1794,0.2863	nuB, nuF, TB, TF
ahya.fold.group1.major.mask	size_change	[3]	-4105.07	8214.14	8787.5	122582.48	8.0,8.0	2.7736,0.4621	nu, T
ahya.fold.group1.major.mask	bottle	[3]	-4940.56	9887.12	10499.8	350079.18	8.0,8.0,8.0	0.1009,1.0972,0.6504	nuB, nuF, T
ahya.fold.group1.major.mask	bottle_neck	[3]	-3230.07	6468.14	6915.65	126142.42	8.0,8.0,8.0,8.0	16.8141,1.6775,0.2261,0.0932	nuB, nuF, TB, TF
ahya.fold.group2.major.mask	size_change	[3]	-2909.87	5823.74	6058.93	148943.47	8.0,8.0	3.1774,0.5762	nu, T
ahya.fold.group2.major.mask	bottle	[3]	-3928.61	7863.22	8200.82	125662.21	8.0,8.0,8.0	1.0091,4.2497,1.579	nuB, nuF, T
ahya.fold.group2.major.mask	bottle_neck	[3]	-2909.87	5827.74	6058.98	63764.73	8.0,8.0,8.0,8.0	2.3358,7.4217,65.0633,1.346	nuB, nuF, TB, TF
ahya.fold.group3.major.mask	size_change	[3]	-3341.74	6687.48	6980.43	150588.91	8.0,8.0	3.2934,0.6471	nu, T
ahya.fold.group3.major.mask	bottle	[3]	-4615.76	9237.52	9814.06	31655.51	8.0,8.0,8.0	1.0127,16.9414,16.817	nuB, nuF, T
ahya.fold.group3.major.mask	bottle_neck	[3]	-82639.33	165286.66	159147.41	194667.84	8.0,8.0,8.0,8.0	20.2322,1.456,8.2929,97.2312	nuB, nuF, TB, TF
ahya.fold.group4.major.mask	size_change	[3]	-3625.73	7255.46	7697.52	178884.8	8.0,8.0	3.2429,0.5697	nu, T
ahya.fold.group4.major.mask	bottle	[3]	-3078.4	6162.8	6456.55	185358.1	8.0,8.0,8.0	60.3076,1.7599,0.4236	nuB, nuF, T
ahya.fold.group4.major.mask	bottle_neck	[3]	-3595.22	7198.44	7628.04	219852.25	8.0,8.0,8.0,8.0	0.7858,2.6368,1.7477,0.4704	nuB, nuF, TB, TF
ahya.fold.Amil.major.mask	size_change	[3]	-2109.71	4223.42	4138.06	862930.88	9.0,9.0	2.0421,0.4473	nu, T
ahya.fold.Amil.major.mask	bottle	[3]	-1421.37	2848.74	2737.66	889819.48	9.0,9.0,9.0	11.921,1.1925,0.2784	nuB, nuF, T
ahya.fold.Amil.major.mask	bottle_neck	[3]	-2109.71	4227.42	4138.05	238965.7	9.0,9.0,9.0,9.0	3.6111,7.3742,101.6999,1.6152	nuB, nuF, TB, TF
ahya.fold.group1.major.mask	size_change	[3]	-4105.07	8214.14	8787.56	122581.68	9.0,9.0	2.7736,0.4621	nu, T
ahya.fold.group1.major.mask	bottle	[3]	-5594.41	11194.82	12399.54	3102.64	9.0,9.0,9.0	6.5655,110.6817,149.9662	nuB, nuF, T
ahya.fold.group1.major.mask	bottle_neck	[3]	-4105.07	8218.14	8787.51	37443.14	9.0,9.0,9.0,9.0	3.2738,9.0802,87.2968,1.5128	nuB, nuF, TB, TF
ahya.fold.group2.major.mask	size_change	[3]	-2909.87	5823.74	6058.94	148942.62	9.0,9.0	3.1773,0.5763	nu, T
ahya.fold.group2.major.mask	bottle	[3]	-4237.94	8481.88	9107.32	11491.82	9.0,9.0,9.0	1.4414,43.6024,54.7956	nuB, nuF, T
ahya.fold.group2.major.mask	bottle_neck	[3]	-75009.58	150027.16	145475.87	145850.03	9.0,9.0,9.0,9.0	55.4758,1.8416,1.8442,62.4411	nuB, nuF, TB, TF
ahya.fold.group3.major.mask	size_change	[3]	-3341.74	6687.48	6980.22	150595.16	9.0,9.0	3.2932,0.647	nu, T
ahya.fold.group3.major.mask	bottle	[3]	-4615.96	9237.92	9813.32	12483.8	9.0,9.0,9.0	0.0596,42.9501,99.6633	nuB, nuF, T
ahya.fold.group3.major.mask	bottle_neck	[3]	-3341.74	6691.48	6980.33	13043.82	9.0,9.0,9.0,9.0	11.5451,38.0218,149.9987,7.4702	nuB, nuF, TB, TF
ahya.fold.group4.major.mask	size_change	[3]	-3625.73	7255.46	7697.54	178884.25	9.0,9.0	3.2429,0.5697	nu, T
ahya.fold.group4.major.mask	bottle	[3]	-4835.96	9677.92	10249.95	202770.59	9.0,9.0,9.0	0.4137,3.2565,1.5966	nuB, nuF, T
ahya.fold.group4.major.mask	bottle_neck	[3]	-3625.73	7259.46	7697.58	49845.33	9.0,9.0,9.0,9.0	3.5888,11.638,96.443,2.0445	nuB, nuF, TB, TF
ahya.fold.Amil.major.mask	size_change	[3]	-2109.71	4223.42	4138.05	862936.03	10.0,10.0	2.0421,0.4473	nu, T
ahya.fold.Amil.major.mask	bottle	[3]	-2599.48	5204.96	5132.34	1317677.03	10.0,10.0,10.0	0.3026,1.439,1.2364	nuB, nuF, T
ahya.fold.Amil.major.mask	bottle_neck	[3]	-2109.71	4227.42	4138.05	1850899.69	10.0,10.0,10.0,10.0	0.4662,0.9521,103.7466,0.2085	nuB, nuF, TB, TF
ahya.fold.group1.major.mask	size_change	[3]	-4105.07	8214.14	8787.47	122583.48	10.0,10.0	2.7736,0.4621	nu, T
ahya.fold.group1.major.mask	bottle	[3]	-4940.56	9887.12	10500.93	382501.1	10.0,10.0,10.0	0.0891,1.004,0.6045	nuB, nuF, T
ahya.fold.group1.major.mask	bottle_neck	[3]	-46293.17	92594.34	89472.85	58784.43	10.0,10.0,10.0,10.0	14.7226,3.3896,51.4801,135.2473	nuB, nuF, TB, TF
ahya.fold.group2.major.mask	size_change	[3]	-2909.87	5823.74	6059.0	148941.14	10.0,10.0	3.1774,0.5763	nu, T
ahya.fold.group2.major.mask	bottle	[3]	-4237.95	8481.9	9106.93	4231.24	10.0,10.0,10.0	3.8639,118.416,149.4065	nuB, nuF, T
ahya.fold.group2.major.mask	bottle_neck	[3]	-2909.87	5827.74	6058.98	153784.49	10.0,10.0,10.0,10.0	0.9685,3.0773,18.2326,0.5581	nuB, nuF, TB, TF
ahya.fold.group3.major.mask	size_change	[3]	-3341.74	6687.48	6980.38	150590.16	10.0,10.0	3.2934,0.6471	nu, T
ahya.fold.group3.major.mask	bottle	[3]	-2339.79	4685.58	4840.03	158124.75	10.0,10.0,10.0	19.9773,1.9739,0.4645	nuB, nuF, T
ahya.fold.group3.major.mask	bottle_neck	[3]	-3341.74	6691.48	6980.32	29401.89	10.0,10.0,10.0,10.0	5.1219,16.868,137.2837,3.3141	nuB, nuF, TB, TF
ahya.fold.group4.major.mask	size_change	[3]	-3625.73	7255.46	7697.56	178883.21	10.0,10.0	3.2429,0.5697	nu, T
ahya.fold.group4.major.mask	bottle	[3]	-5326.3	10658.6	11687.42	4142.79	10.0,10.0,10.0	8.424,148.0657,149.9998	nuB, nuF, T
ahya.fold.group4.major.mask	bottle_neck	[3]	-3625.73	7259.46	7697.6	561829.6	10.0,10.0,10.0,10.0	0.3184,1.0325,28.6744,0.1814	nuB, nuF, TB, TF
ahya.fold.het05.Amil.major	size_change	[3]	-97045.24	194094.48	190622.74	13939.54	1.0,1.0	150.0,54.4662	nu, T
ahya.fold.het05.Amil.major	bottle	[3]	-206918.44	413842.88	382710.24	2289470.51	1.0,1.0,1.0	0.0013,1.3695,1.0859	nuB, nuF, T
ahya.fold.het05.Amil.major	bottle_neck	[3]	-95621.58	191251.16	188009.39	1326999.46	1.0,1.0,1.0,1.0	0.001,1.573,0.0856,0.581	nuB, nuF, TB, TF
ahya.fold.het05.group1.major	size_change	[3]	-37521.77	75047.54	62621.55	2505.67	1.0,1.0	150.0,39.1462	nu, T
ahya.fold.het05.group1.major	bottle	[3]	-78264.13	156534.26	111385.24	214998.01	1.0,1.0,1.0	0.0177,2.6025,1.0423	nuB, nuF, T
ahya.fold.het05.group1.major	bottle_neck	[3]	-28706.94	57421.88	48535.95	5383.59	1.0,1.0,1.0,1.0	150.0,37.7402,15.3438,2.6404	nuB, nuF, TB, TF
ahya.fold.het05.group2.major	size_change	[3]	-47777.45	95558.9	78852.41	3481.3	1.0,1.0	150.0,38.033	nu, T
ahya.fold.het05.group2.major	bottle	[3]	-102803.17	205612.34	144834.68	864930.88	1.0,1.0,1.0	0.0048,0.9178,0.3592	nuB, nuF, T
ahya.fold.het05.group2.major	bottle_neck	[3]	-45616.71	91241.42	77903.38	3805.44	1.0,1.0,1.0,1.0	0.001,138.03,2.7908,35.2081	nuB, nuF, TB, TF
ahya.fold.het05.group3.major	size_change	[3]	-50540.59	101085.18	83118.9	3691.58	1.0,1.0	150.0,38.0572	nu, T
ahya.fold.het05.group3.major	bottle	[3]	-109863.2	219732.4	154927.06	342002.65	1.0,1.0,1.0	0.0094,2.4463,1.0274	nuB, nuF, T
ahya.fold.het05.group3.major	bottle_neck	[3]	-89154.23	178316.46	125275.27	64015.08	1.0,1.0,1.0,1.0	149.9289,0.0158,1.4616,0.001	nuB, nuF, TB, TF
ahya.fold.het05.group4.major	size_change	[3]	-56153.95	112311.9	93015.4	4236.5	1.0,1.0	150.0,37.6057	nu, T
ahya.fold.het05.group4.major	bottle	[3]	-50664.21	101334.42	80783.52	10212.42	1.0,1.0,1.0	150.0,48.2414,15.2663	nuB, nuF, T
ahya.fold.het05.group4.major	bottle_neck	[3]	-393543.68	787095.36	531543.86	1424849.6	1.0,1.0,1.0,1.0	0.1884,0.1932,0.3313,6.5493	nuB, nuF, TB, TF
ahya.fold.het05.Amil.major	size_change	[3]	-97045.24	194094.48	190622.26	13939.51	2.0,2.0	150.0,54.4664	nu, T
