Directory	Run	LogLikelihood	ModelParameters	ModelValues
output_nomask_group2-Amil_process1_18-4-25	Run 1	-15317.28	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.193, 1.049, 3.263, 1.335, 15.45, 0.00e+00, 0.086, 2.491, 22.328, 11.09, 0.038, 0.18, 8766.91)
output_nomask_group2-Amil_process1_18-4-25	Run 3	-15331.85	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.171, 0.288, 1.915, 1.0, 17.429, 0.00e+00, 0.00e+00, 1.815, 16.27, 7.847, 0.05, 0.264, 12025.75)
output_nomask_group2-Amil_process1_18-4-25	Run 2	-15336.45	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(12.245, 3.573, 1.711, 0.876, 23.534, 0.00e+00, 0.00e+00, 1.707, 15.356, 7.234, 0.055, 0.277, 12825.05)
output_nomask_group2-Amil_process1_18-4-25	Run 7	-15336.83	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.014, 6.683, 1.979, 1.0, 17.156, 0.00e+00, 0.028, 1.853, 16.423, 7.995, 0.051, 0.249, 11832.27)
output_nomask_group2-group4_process3_18-4-25	Run 8	-7382.03	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.342, 1.829, 2.394, 4.784, 40.607, 0.00e+00, 0.00e+00, 1.306, 26.204, 31.333, 0.379, 0.087, 5732.39)
output_nomask_group2-group4_process3_18-4-25	Run 4	-7393.41	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(5.445, 45.919, 2.165, 4.268, 36.88, 0.00e+00, 0.00e+00, 1.348, 23.415, 31.542, 0.386, 0.086, 5991.20)
output_nomask_group2-group4_process3_18-4-25	Run 1	-7400.55	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(4.121, 3.476, 2.085, 4.393, 35.396, 0.00e+00, 0.00e+00, 1.137, 22.468, 29.03, 0.43, 0.099, 6459.20)
output_nomask_group2-group4_process3_18-4-25	Run 3	-7436.63	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(6.48, 1.906, 2.018, 4.035, 37.598, 0.00e+00, 0.00e+00, 1.152, 21.166, 27.925, 0.444, 0.094, 6569.03)
output_nomask_group2-group4_process3_18-4-25	Run 2	-7444.50	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.531, 0.949, 2.002, 3.382, 36.999, 0.00e+00, 0.00e+00, 1.369, 21.563, 30.609, 0.417, 0.077, 6226.88)
output_nomask_group1-group3_process4_18-4-25	Run 5	-7218.11	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.45, 0.496, 5.0, 0.892, 23.168, 0.00e+00, 0.594, 1.809, 21.485, 24.794, 0.173, 0.27, 5567.04)
output_nomask_group1-group3_process4_18-4-25	Run 1	-7225.67	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.024, 0.788, 5.0, 0.799, 22.26, 0.00e+00, 0.689, 1.564, 18.953, 22.126, 0.209, 0.286, 6269.01)
output_nomask_group1-group3_process4_18-4-25	Run 2	-7328.63	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.619, 0.607, 5.0, 1.0, 38.854, 0.00e+00, 0.632, 1.59, 20.456, 22.458, 0.208, 0.259, 5826.37)
output_nomask_group1-group3_process4_18-4-25	Run 4	-7847.08	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.118, 1.045, 1.756, 2.366, 32.118, 0.00e+00, 0.00e+00, 1.202, 21.771, 22.432, 0.291, 0.212, 6116.88)
output_nomask_group1-group3_process4_18-4-25	Run 8	-7852.70	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.717, 1.832, 1.812, 2.715, 26.234, 0.00e+00, 0.00e+00, 1.167, 22.97, 22.992, 0.271, 0.226, 6112.66)
output_nomask_group4-Amil_process2_18-4-25	Run 6	-16430.98	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.756, 1.091, 2.763, 1.105, 13.537, 0.00e+00, 0.00e+00, 2.474, 22.553, 8.46, 0.032, 0.267, 11197.26)
output_nomask_group4-Amil_process2_18-4-25	Run 8	-16440.34	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.509, 2.745, 2.59, 1.078, 12.825, 0.00e+00, 0.00e+00, 2.406, 22.118, 8.426, 0.034, 0.267, 11475.81)
output_nomask_group4-Amil_process2_18-4-25	Run 2	-16443.48	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(5.128, 2.626, 2.637, 1.053, 10.212, 0.00e+00, 0.00e+00, 2.478, 21.893, 8.48, 0.032, 0.27, 11416.20)
output_nomask_group4-Amil_process2_18-4-25	Run 7	-16452.32	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.807, 1.867, 2.339, 0.967, 9.116, 0.00e+00, 0.00e+00, 2.241, 20.261, 7.816, 0.034, 0.298, 12493.15)
output_nomask_group4-Amil_process2_18-4-25	Run 1	-16458.92	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.147, 2.552, 2.433, 1.0, 9.896, 0.00e+00, 0.00e+00, 2.326, 20.733, 8.242, 0.034, 0.278, 12035.46)
output_nomask_grp1-grp2-process1_17-4-25	Run 3	-6986.82	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(5.714, 6.064, 2.073, 0.793, 10.073, 0.00e+00, 0.216, 1.927, 22.346, 22.109, 0.085, 0.45, 5752.07)
output_nomask_grp1-grp2-process1_17-4-25	Run 1	-7190.18	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.425, 2.047, 1.757, 1.0, 9.727, 0.00e+00, 0.00e+00, 2.102, 22.611, 21.118, 0.065, 0.476, 5587.78)
output_nomask_grp1-grp2-process1_17-4-25	Run 2	-7346.94	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.013, 8.272, 4.31, 1.205, 17.77, 0.00e+00, 0.313, 2.755, 31.772, 34.096, 0.082, 0.228, 3840.96)
output_nomask_grp1-grp2-process1_17-4-25	Run 8	-7387.05	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.995, 1.048, 2.716, 0.781, 16.454, 0.00e+00, 0.526, 1.773, 20.841, 22.365, 0.135, 0.333, 5797.65)
output_nomask_grp1-grp2-process1_17-4-25	Run 7	-7458.29	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(3.126, 0.464, 1.837, 1.031, 14.396, 0.00e+00, 0.00e+00, 2.055, 24.835, 24.361, 0.099, 0.366, 5209.10)
output_nomask_group1-group4_process1_18-4-25	Run 5	-7034.60	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.884, 0.236, 5.0, 0.847, 43.896, 0.00e+00, 0.725, 1.104, 14.777, 25.291, 0.422, 0.105, 7233.74)
output_nomask_group1-group4_process1_18-4-25	Run 6	-7037.42	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.234, 0.01, 5.0, 0.856, 38.732, 0.00e+00, 0.718, 1.117, 15.119, 26.25, 0.41, 0.109, 7178.48)
output_nomask_group1-group4_process1_18-4-25	Run 4	-7080.78	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.937, 0.018, 5.0, 1.0, 49.46, 0.00e+00, 0.643, 1.229, 16.86, 28.217, 0.368, 0.097, 6480.95)
output_nomask_group1-group4_process1_18-4-25	Run 7	-7902.72	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.019, 0.644, 1.893, 1.983, 35.327, 0.00e+00, 0.137, 0.99, 17.691, 26.353, 0.42, 0.121, 7000.55)
output_nomask_group1-group4_process1_18-4-25	Run 2	-7914.16	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.012, 0.747, 1.818, 1.896, 36.031, 0.00e+00, 0.15, 0.899, 16.594, 24.973, 0.468, 0.116, 7359.63)
output_nomask_grp2-grp3-process4_17-4-25	Run 1	-5702.34	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.117, 0.769, 2.529, 13.039, 16.49, 0.00e+00, 0.00e+00, 0.682, 31.443, 28.992, 0.411, 0.363, 5992.98)
output_nomask_grp2-grp3-process4_17-4-25	Run 2	-5709.98	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.638, 3.533, 2.553, 12.905, 17.788, 0.00e+00, 0.00e+00, 0.716, 29.489, 29.527, 0.409, 0.343, 5882.73)
output_nomask_grp2-grp3-process4_17-4-25	Run 5	-5768.22	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(3.561, 1.988, 2.308, 11.7, 18.761, 0.00e+00, 0.00e+00, 0.551, 26.5, 24.797, 0.579, 0.381, 6559.25)
output_nomask_grp2-grp3-process4_17-4-25	Run 3	-6041.67	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(5.625, 0.425, 2.616, 25.733, 10.282, 0.00e+00, 0.00e+00, 0.854, 26.792, 31.239, 0.216, 0.482, 5525.99)
output_nomask_grp2-grp3-process4_17-4-25	Run 4	-6099.46	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.091, 1.276, 2.391, 7.019, 25.778, 0.00e+00, 0.00e+00, 1.081, 28.092, 27.572, 0.435, 0.189, 5600.67)
output_nomask_group2-group4_process1_18-4-25	Run 4	-7352.97	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.038, 0.302, 2.519, 6.622, 29.392, 0.00e+00, 0.00e+00, 1.062, 25.827, 34.516, 0.394, 0.108, 5936.22)
output_nomask_group2-group4_process1_18-4-25	Run 5	-7369.30	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.807, 0.158, 2.501, 4.807, 41.892, 0.00e+00, 0.00e+00, 1.287, 25.019, 31.933, 0.39, 0.086, 5656.05)
output_nomask_group2-group4_process1_18-4-25	Run 1	-7518.26	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.46, 1.071, 2.274, 3.57, 37.464, 0.00e+00, 0.00e+00, 1.709, 25.644, 35.444, 0.327, 0.073, 5398.84)
output_nomask_group2-group4_process1_18-4-25	Run 7	-7566.22	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(8.824, 0.024, 2.664, 8.556, 30.654, 0.00e+00, 0.00e+00, 0.701, 28.259, 30.967, 0.499, 0.158, 6223.54)
output_nomask_group2-group4_process1_18-4-25	Run 6	-7779.14	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.108, 0.934, 2.297, 1.223, 40.588, 0.739, 3.15e-06, 1.65, 25.672, 37.154, 0.354, 0.038, 5442.16)
output_nomask_group2-Amil_process2_18-4-25	Run 6	-15286.77	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.223, 2.641, 2.388, 1.081, 15.94, 0.00e+00, 0.00e+00, 2.164, 19.106, 8.805, 0.037, 0.251, 10415.12)
output_nomask_group2-Amil_process2_18-4-25	Run 2	-15293.55	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(65.836, 1.764, 3.029, 1.268, 13.23, 0.00e+00, 0.034, 2.612, 22.137, 11.116, 0.033, 0.197, 8755.13)
output_nomask_group2-Amil_process2_18-4-25	Run 1	-15294.24	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(3.774, 0.548, 2.773, 1.2, 14.599, 0.00e+00, 0.046, 2.413, 20.653, 10.223, 0.038, 0.203, 9380.19)
output_nomask_group2-Amil_process2_18-4-25	Run 7	-15320.23	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.99, 1.269, 2.893, 1.173, 14.075, 0.00e+00, 0.028, 2.629, 21.308, 10.718, 0.033, 0.203, 8931.64)
output_nomask_group2-Amil_process2_18-4-25	Run 3	-15325.30	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.094, 0.629, 2.692, 1.143, 12.658, 0.00e+00, 0.078, 2.314, 19.813, 10.21, 0.04, 0.2, 9724.37)
output_nomask_grp1-grp2-process3_17-4-25	Run 3	-7043.85	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.964, 0.991, 1.571, 0.713, 14.63, 0.00e+00, 0.00e+00, 1.979, 21.586, 19.51, 0.075, 0.513, 5946.03)
output_nomask_grp1-grp2-process3_17-4-25	Run 1	-7080.08	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.19, 0.697, 1.378, 0.684, 11.174, 0.00e+00, 0.00e+00, 1.826, 19.906, 19.289, 0.085, 0.534, 6371.98)
output_nomask_grp1-grp2-process3_17-4-25	Run 5	-7101.41	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.108, 0.498, 1.082, 0.504, 13.332, 0.00e+00, 0.091, 1.455, 16.469, 14.931, 0.102, 0.666, 7877.99)
output_nomask_grp1-grp2-process3_17-4-25	Run 4	-7127.51	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.012, 0.643, 2.165, 1.0, 10.906, 0.00e+00, 0.178, 1.89, 22.827, 21.863, 0.08, 0.463, 5693.70)
output_nomask_grp1-grp2-process3_17-4-25	Run 6	-7373.02	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.716, 2.132, 2.434, 0.762, 13.298, 0.00e+00, 0.472, 1.83, 20.823, 22.281, 0.124, 0.354, 5816.89)
output_nomask_group1-group4_process3_18-4-25	Run 3	-7116.98	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.326, 0.233, 5.0, 0.938, 44.729, 0.00e+00, 0.629, 1.316, 17.092, 28.305, 0.339, 0.124, 6425.28)
output_nomask_group1-group4_process3_18-4-25	Run 7	-7127.90	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.024, 0.765, 5.0, 0.923, 36.156, 0.00e+00, 0.638, 1.32, 16.751, 29.327, 0.332, 0.131, 6504.94)
output_nomask_group1-group4_process3_18-4-25	Run 5	-7144.34	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(11.699, 0.393, 5.0, 1.0, 52.752, 0.00e+00, 0.651, 1.261, 16.403, 27.078, 0.342, 0.13, 6564.74)
output_nomask_group1-group4_process3_18-4-25	Run 2	-7885.26	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.376, 0.119, 1.971, 2.131, 32.253, 0.00e+00, 0.153, 0.936, 18.4, 28.358, 0.446, 0.093, 6922.09)
output_nomask_group1-group4_process3_18-4-25	Run 8	-7889.63	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.321, 0.375, 2.02, 2.334, 36.516, 0.00e+00, 0.131, 0.922, 18.796, 26.269, 0.427, 0.119, 6875.50)
output_nomask_group1-Amil_process4_18-4-25	Run 2	-13649.99	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(11.87, 1.108, 4.601, 1.077, 13.648, 0.00e+00, 0.228, 1.646, 18.065, 10.374, 0.038, 0.192, 9927.34)
output_nomask_group1-Amil_process4_18-4-25	Run 1	-13673.68	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.432, 11.071, 3.46, 0.909, 15.426, 0.00e+00, 0.229, 1.388, 15.333, 8.115, 0.044, 0.246, 11780.66)
output_nomask_group1-Amil_process4_18-4-25	Run 8	-13689.61	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.229, 0.387, 5.0, 1.168, 16.071, 0.00e+00, 0.18, 1.919, 20.002, 11.267, 0.032, 0.184, 8849.32)
output_nomask_group1-Amil_process4_18-4-25	Run 6	-14036.26	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(3.933, 2.714, 2.532, 0.797, 25.833, 0.00e+00, 0.001, 1.414, 14.197, 6.962, 0.034, 0.386, 12532.67)
output_nomask_group1-Amil_process4_18-4-25	Run 5	-19483.52	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.174, 0.403, 3.296, 0.589, 9.323, 0.173, 0.00e+00, 1.85, 17.582, 8.451, 0.001, 0.383, 10780.30)
output_nomask_group1-group4_process2_18-4-25	Run 2	-7126.39	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(5.625, 1.018, 5.0, 1.02, 48.363, 0.00e+00, 0.571, 1.407, 18.185, 31.343, 0.327, 0.104, 5932.70)
output_nomask_group1-group4_process2_18-4-25	Run 1	-7892.83	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.903, 1.749, 2.197, 2.312, 34.857, 0.00e+00, 0.141, 1.067, 20.431, 29.717, 0.376, 0.108, 6342.23)
output_nomask_group1-group4_process2_18-4-25	Run 3	-7930.86	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(6.348, 0.475, 2.098, 2.305, 34.19, 0.00e+00, 0.103, 1.088, 19.988, 28.536, 0.359, 0.136, 6449.86)
output_nomask_group1-group4_process2_18-4-25	Run 6	-7932.91	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.054, 0.822, 1.935, 2.215, 35.612, 0.00e+00, 0.064, 1.028, 19.047, 26.665, 0.383, 0.156, 6765.80)
output_nomask_group1-group4_process2_18-4-25	Run 4	-7948.95	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.967, 0.144, 1.845, 2.248, 37.131, 0.00e+00, 0.09, 0.855, 18.005, 23.555, 0.447, 0.157, 7339.65)
output_nomask_grp1-grp2-process2_17-4-25	Run 3	-6978.86	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.768, 2.106, 1.867, 0.733, 9.513, 0.00e+00, 0.165, 2.004, 22.059, 20.478, 0.071, 0.494, 5853.57)
output_nomask_grp1-grp2-process2_17-4-25	Run 6	-7047.41	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(6.175, 2.865, 1.667, 0.565, 6.516, 0.00e+00, 0.412, 1.579, 17.457, 18.722, 0.103, 0.556, 7159.37)
output_nomask_grp1-grp2-process2_17-4-25	Run 4	-7057.97	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.288, 1.257, 1.369, 0.644, 9.077, 0.00e+00, 0.00e+00, 1.971, 20.14, 19.183, 0.074, 0.517, 6206.73)
output_nomask_grp1-grp2-process2_17-4-25	Run 8	-7104.28	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.338, 0.484, 1.67, 0.789, 11.465, 0.00e+00, 0.001, 2.004, 21.958, 20.966, 0.078, 0.472, 5767.55)
output_nomask_grp1-grp2-process2_17-4-25	Run 5	-7151.53	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.391, 0.165, 1.989, 1.0, 9.954, 0.00e+00, 0.143, 1.902, 22.667, 22.609, 0.08, 0.463, 5708.46)
output_nomask_group4-Amil_process1_18-4-25	Run 5	-16436.45	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.001, 4.953, 2.663, 1.098, 12.384, 0.00e+00, 0.00e+00, 2.448, 22.243, 8.586, 0.033, 0.261, 11310.21)
