Group	Parameter	Optimised	Lower_CI	Upper_CI	eps
group3-Amil	nu21	17.48163	15.4776	19.4856	0.01
group3-Amil	nu22	12.3383	9.949	14.7276	0.01
group3-Amil	me2_12	1.59577	0.0	4.7585	0.01
group3-Amil	me2_21	10.0	6.6653	13.3347	0.01
group3-Amil	P1	0.23576	0.0	1.8164	0.01
group3-Amil	P2	0.59581	0.5816	0.61	0.01
group3-Amil	theta	14158.738772072802	14157.3364	14160.1411	0.01
group4-Amil	nu_1	0.89495	0.0376	1.7523	0.001
group4-Amil	nu_2	200.0	198.8621	201.1379	0.01
group4-Amil	t1	1.53038	0.6527	2.4081	0.01
group4-Amil	nu11	16.49094	15.6425	17.3394	0.01
group4-Amil	nu12	5.4468	4.6493	6.2443	0.01
group4-Amil	me1_12	0.0261	0.0	6.1791	0.01
group4-Amil	me1_21	0.09442	0.0	8.2186	0.01
group4-Amil	t2	0.09761	0.0827	0.1126	0.0001
group4-Amil	nu21	17.63399	16.5619	18.7061	0.01
group4-Amil	nu22	7.76057	6.6794	8.8418	0.01
group4-Amil	me2_12	1.4379	0.0	4.2187	0.01
group4-Amil	me2_21	10.0	7.0113	12.9887	0.01
group4-Amil	P1	0.25806	0.0	11.3655	0.01
group4-Amil	P2	0.57771	0.2704	0.885	0.01
group4-Amil	theta	15704.969489260524	15704.0707	15705.8683	0.01
