Directory	Run	LogLikelihood	ModelParameters	ModelValues	Theta
output_proj_2het_group2-group3_process8_05-6-25	Run 5	-1341.53	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(6.82839, 0.07797, 1.32527, 12.38295, 19.37382, 0.00e+00, 0.00e+00, 0.00e+00, 2.13843, 5.67256, 12.2847, 200.0, 12.52146, 0.00e+00, 5.76344, 0.00e+00, 0.55177, 0.70114)	0.004242898529092398
output_proj_2het_group2-group3_process8_05-6-25	Run 8	-3768.78	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(5.59946, 0.99999, 0.76459, 9.27174, 200.0, 0.00e+00, 0.22529, 0.00e+00, 0.57926, 1.90201, 24.30661, 23.18562, 0.00e+00, 2.89941, 0.001, 2.26286, 0.00045, 0.42238)	5817.316795279668
output_proj_2het_group2-group3_process8_05-6-25	Run 2	-3806.94	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.26964, 1.05443, 0.00421, 0.28814, 0.01165, 0.00e+00, 2.52881, 0.00e+00, 0.00e+00, 2.50435, 18.14768, 17.85316, 4.58469, 0.001, 3.52372, 0.1093, 0.03083, 0.53564)	7200.3794349591935
output_proj_2het_group2-group3_process8_05-6-25	Run 6	-4146.78	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(200.0, 0.25161, 6.85032, 0.26781, 0.10793, 9.70039, 0, 3.86599, 0.00e+00, 0.63204, 3.97115, 5.31004, 8.38709, 0.00e+00, 1.3728, 0.25, 1.0, 0.6839)	28966.826400246708
output_proj_2het_group2-group3_process8_05-6-25	Run 7	-4210.22	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.01, 7.59393, 0.00266, 0.19118, 3.28626, 0.00e+00, 3.30602, 0.00e+00, 1.70051, 2.55638, 17.85207, 19.41093, 0.09295, 3.67989, 0.001, 4.54928, 1.0, 0.46566)	7009.493768399406
output_full_2het_group1-group3_process1_05-6-25	Run 7	-6130.51	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.05298, 200.0, 0.51252, 0.25527, 35.44755, 8.69617, 0.00e+00, 0.4937, 2.73954, 0.62038, 8.87597, 10.60308, 10.841, 0.19638, 15.0, 0.001, 0.16437, 0.42451)	13992.410479582359
output_full_2het_group1-group3_process1_05-6-25	Run 1	-6833.79	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.73442, 14.84431, 1.37494, 16.8534, 40.25501, 0.00e+00, 7.88627, 0.001, 3.63117, 0.00905, 5.39028, 1.0, 15.0, 0.00e+00, 15.0, 0.00e+00, 0.63059, 0.65726)	6391.899322329986
output_full_2het_group1-group3_process1_05-6-25	Run 2	-7581.86	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.01, 200.0, 0.73915, 1.0, 56.57104, 0.00e+00, 0.8493, 1.63108, 0.00e+00, 0.56277, 12.24932, 14.07717, 0.001, 1.92198, 0.00e+00, 0.27333, 0.59203, 0.35053)	9647.427435474438
output_full_2het_group1-group3_process1_05-6-25	Run 3	-7601.07	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.42316, 39.3654, 0.91752, 16.16162, 8.12049, 0.001, 0.00e+00, 1.84738, 0.00e+00, 0.01034, 1.0, 200.0, 0.24984, 15.0, 0.00e+00, 13.56, 0.81965, 0.32434)	12443.328587964757
output_full_2het_group1-group3_process1_05-6-25	Run 6	-8139.57	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.01, 0.91186, 4.64728, 0.33184, 7.65639, 0.00e+00, 0.00e+00, 1.67931, 1.23615, 0.61475, 8.52439, 8.42823, 0.68265, 0.00e+00, 1.74537, 0.00e+00, 0.57954, 0.82019)	15700.363836970879
output_proj_2het_group1-group2_process2_05-6-25	Run 4	-1332.76	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.02287, 0.08556, 1e-05, 0.01, 200.0, 0.00e+00, 4.99342, 0.00e+00, 0.00e+00, 3.63563, 2.3484, 200.0, 11.36973, 1.59684, 15.0, 0.21461, 0.00717, 0.36894)	281880.4027470171
output_proj_2het_group1-group2_process2_05-6-25	Run 5	-2571.28	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.49514, 124.15784, 0.62908, 0.14386, 17.46166, 0.00e+00, 15.0, 2.24083, 0.00e+00, 0.88556, 12.25124, 15.29713, 9.26684, 0.10388, 15.0, 0.001, 0.73659, 0.41056)	10107.043628569569
output_proj_2het_group1-group2_process2_05-6-25	Run 3	-3004.57	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(2.21484, 14.52216, 2.00189, 33.25686, 43.1728, 4.67684, 5.48e-20, 7.25031, 0.001, 0.01464, 3.71212, 2.9969, 4.31e-21, 10.47765, 2.23e-20, 15.0, 0.30703, 0.38504)	4503.991560099415
output_proj_2het_group1-group2_process2_05-6-25	Run 6	-3372.35	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.01, 200.0, 0.51355, 1.0, 126.11412, 0.44824, 1.08332, 1.64835, 0.00e+00, 1.04672, 14.08851, 16.84982, 8.61142, 0.001, 4.02249, 0.05797, 0.82763, 0.42117)	8398.275285841262
output_proj_2het_group1-group2_process2_05-6-25	Run 7	-3607.66	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(0.13409, 200.0, 0.58993, 2.2607, 26.6408, 0, 0.862, 1.61018, 0.00e+00, 0.87222, 16.25045, 17.61978, 11.39599, 0.00e+00, 5.70516, 0.09093, 0.45449, 0.3884)	8086.2782871661575
output_full_2het_group1-group2_process1_05-6-25	Run 1	-1599.46	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.29744, 0.06846, 14.02414, 1.00071, 200.0, 0.00e+00, 5.25667, 0.42236, 3.92079, 0.66427, 9.66566, 0.82584, 0.00e+00, 0.00e+00, 0.00e+00, 0.04613, 0.53607, 0.55831)	0.16972931396377758
output_full_2het_group1-group2_process1_05-6-25	Run 3	-5783.33	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.18414, 13.42764, 2.03173, 26.28777, 28.01084, 0.00e+00, 0.00e+00, 0.001, 0.59202, 0.02056, 8.53077, 8.3141, 0.65181, 15.0, 0.00e+00, 8.10135, 0.32553, 0.50141)	5216.8031052689275
output_full_2het_group1-group2_process1_05-6-25	Run 2	-5977.04	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.64206, 33.78092, 1.27179, 22.64937, 19.67409, 7.75773, 0.001, 6.27567, 4.61e-20, 0.01452, 5.49947, 52.06697, 6.74e-21, 11.41057, 0.7032, 15.0, 0.27267, 0.45011)	6429.168032467094
output_full_2het_group1-group2_process1_05-6-25	Run 8	-6294.54	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(11.98675, 0.49365, 2.93263, 0.32462, 9.22296, 4.77704, 0.00e+00, 0.00e+00, 1.78022, 0.78029, 9.4974, 12.4696, 4.09894, 0.12509, 7.28287, 0.00e+00, 0.04105, 0.4751)	12258.522553815777
output_full_2het_group1-group2_process1_05-6-25	Run 5	-6391.60	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(2.0944, 11.21565, 1.99059, 26.93011, 90.03336, 5.55403, 0.00e+00, 7.20831, 0, 0.0124, 4.07934, 1.0, 12.1654, 0, 15.0, 0.25021, 0.34686, 0.62753)	4568.565222613864
output_full_2het_group3-group4_process7_05-6-25	Run 6	-5554.47	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(11.44154, 4.29214, 1.27205, 6.50603, 200.0, 0.00e+00, 8.62897, 0.17135, 0.00e+00, 1.31623, 17.94848, 31.79918, 5.90732, 0.24034, 1.32344, 0.00e+00, 1.0, 0.54124)	6024.04983177417
output_full_2het_group3-group4_process7_05-6-25	Run 5	-6258.52	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(200.0, 4.34667, 0.5693, 0.99999, 200.0, 0.00e+00, 0.00e+00, 0.00e+00, 0.39544, 2.09891, 14.76213, 29.13324, 0.23457, 4.83718, 0.001, 2.02677, 0.00e+00, 0.42471)	6942.407159061919
output_full_2het_group3-group4_process7_05-6-25	Run 7	-6276.61	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(1.00193, 0.14497, 0.36703, 0.08913, 12.06314, 0.00e+00, 13.10589, 3.03829, 0.68856, 0.55378, 4.79919, 8.82013, 0.85867, 15.0, 0.00e+00, 7.67398, 0.02506, 0.449)	22823.018810400998
output_full_2het_group3-group4_process7_05-6-25	Run 2	-6440.11	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(2.10776, 0.06325, 0.00492, 0.01, 0.05862, 0.00e+00, 2.7575, 0.00e+00, 14.26669, 2.65875, 12.8112, 24.34491, 8.10473, 0.18741, 3.83986, 0.05667, 1.0, 0.5666)	7892.448311777643
output_full_2het_group3-group4_process7_05-6-25	Run 1	-6929.43	(nu_1, nu_2, t1, nu11, nu12, m1_12, me1_12, m1_21, me1_21, t2, nu21, nu22, m2_12, me2_12, m2_21, me2_21, P1, P2)	(200.0, 0.04108, 0.30326, 0.55535, 1.0, 0.00e+00, 6.20737, 3.3757, 1.56272, 2.01013, 10.79093, 21.0174, 0.19554, 3.85916, 0.001, 1.63769, 0.4058, 0.33145)	9533.173720460843
