Directory	Run	LogLikelihood	ModelParameters	ModelValues
output_full_group1-group2_process3_30-5-25	Run 3	-12735.04	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.273, 1.215, 3.198, 0.893, 18.294, 0.00e+00, 0.434, 2.006, 23.957, 25.363, 0.123, 0.308, 5100.64)
output_full_group1-group2_process3_30-5-25	Run 6	-12769.57	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.37, 1.344, 1.819, 1.0, 13.627, 0.00e+00, 0.078, 1.818, 22.626, 22.108, 0.107, 0.428, 5740.82)
output_full_group1-group2_process3_30-5-25	Run 5	-12793.85	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.125, 0.682, 1.704, 0.576, 13.912, 0.00e+00, 0.54, 1.456, 17.058, 16.722, 0.147, 0.508, 7352.67)
output_full_group1-group2_process3_30-5-25	Run 8	-12820.46	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.134, 1.725, 2.949, 1.0, 21.055, 0.00e+00, 0.435, 1.82, 22.74, 23.725, 0.136, 0.32, 5378.40)
output_full_group3-group4_process8_30-5-25	Run 7	-9937.75	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.881, 1.052, 1.932, 3.646, 36.994, 0.00e+00, 0.00e+00, 1.115, 14.834, 26.866, 0.794, 0.174, 7122.41)
output_full_group3-group4_process8_30-5-25	Run 4	-10191.81	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.262, 0.542, 1.837, 2.83, 39.721, 0.00e+00, 0.00e+00, 1.268, 15.874, 27.176, 0.737, 0.176, 6990.71)
output_full_group3-group4_process8_30-5-25	Run 3	-10348.92	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(58.791, 33.728, 1.934, 2.806, 61.426, 0.00e+00, 0.027, 1.257, 13.895, 26.758, 0.852, 0.134, 6804.44)
output_full_group3-group4_process8_30-5-25	Run 6	-10440.39	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.019, 71.834, 2.306, 2.149, 76.344, 0.139, 0.172, 1.152, 14.486, 27.316, 0.897, 0.088, 6529.26)
output_full_group3-group4_process8_30-5-25	Run 5	-10550.12	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.077, 0.743, 1.784, 1.935, 65.059, 0.00e+00, 0.00e+00, 1.433, 14.174, 27.421, 0.801, 0.142, 6771.79)
output_full_group2-group3_process5_30-5-25	Run 5	-10797.16	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.193, 0.677, 2.681, 13.101, 22.657, 0.00e+00, 0.00e+00, 0.666, 27.582, 25.989, 0.475, 0.363, 5753.71)
output_full_group2-group3_process5_30-5-25	Run 8	-10851.79	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.941, 2.252, 2.481, 12.955, 21.521, 0.00e+00, 0.00e+00, 0.651, 24.762, 23.86, 0.513, 0.361, 6090.31)
output_full_group2-group3_process5_30-5-25	Run 1	-11019.16	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.942, 0.684, 2.466, 21.073, 11.298, 0.00e+00, 0.00e+00, 0.716, 25.429, 26.498, 0.28, 0.547, 6024.76)
output_full_group2-group3_process5_30-5-25	Run 4	-11199.73	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.237, 2.272, 2.166, 7.842, 25.887, 0.00e+00, 0.00e+00, 0.751, 25.689, 21.179, 0.55, 0.284, 6473.50)
output_full_group2-group3_process5_30-5-25	Run 2	-11221.55	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.837, 1.033, 2.458, 23.773, 9.639, 0.00e+00, 0.00e+00, 0.831, 25.628, 27.425, 0.24, 0.514, 5841.81)
output_full_group1-group2_process1_30-5-25	Run 1	-12785.34	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.858, 0.999, 3.545, 1.0, 22.736, 0.00e+00, 0.441, 2.028, 24.206, 26.796, 0.134, 0.271, 4878.51)
output_full_group1-group2_process1_30-5-25	Run 5	-12789.23	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(8.981, 1.639, 2.331, 1.028, 15.628, 0.00e+00, 0.031, 2.417, 28.58, 23.258, 0.065, 0.393, 4738.15)
output_full_group1-group2_process1_30-5-25	Run 6	-12803.39	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.031, 0.445, 1.635, 0.549, 12.279, 0.00e+00, 0.554, 1.44, 16.506, 16.318, 0.145, 0.53, 7549.42)
output_full_group1-group2_process1_30-5-25	Run 7	-13196.27	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.021, 2.006, 1.576, 1.329, 26.305, 0.00e+00, 0.00e+00, 1.575, 21.49, 22.482, 0.185, 0.296, 5787.42)
output_full_group1-group2_process1_30-5-25	Run 3	-13208.07	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.393, 0.794, 1.798, 1.478, 26.518, 0.00e+00, 0.00e+00, 1.82, 24.112, 25.545, 0.16, 0.263, 5130.63)
output_full_group2-Amil_process8_30-5-25	Run 4	-24157.74	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.808, 1.169, 2.569, 1.129, 15.305, 0.00e+00, 0.00e+00, 2.318, 20.013, 9.604, 0.039, 0.237, 9813.95)
output_full_group2-Amil_process8_30-5-25	Run 1	-24163.59	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.053, 2.856, 2.9, 1.237, 16.682, 0.00e+00, 0.016, 2.474, 21.523, 10.311, 0.037, 0.217, 9119.89)
output_full_group2-Amil_process8_30-5-25	Run 5	-24183.53	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.89, 0.282, 1.957, 0.93, 15.097, 0.00e+00, 0.00e+00, 1.901, 16.579, 8.128, 0.049, 0.273, 11796.24)
output_full_group2-Amil_process8_30-5-25	Run 3	-24189.35	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.654, 1.331, 1.907, 0.914, 15.874, 0.00e+00, 0.00e+00, 1.847, 16.228, 7.921, 0.051, 0.277, 12056.78)
output_full_group2-Amil_process8_30-5-25	Run 7	-24197.79	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.483, 0.017, 2.75, 1.181, 16.714, 0.00e+00, 0.008, 2.447, 20.706, 10.282, 0.038, 0.22, 9315.63)
output_full_group4-Amil_process2_30-5-25	Run 3	-25508.42	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.131, 1.944, 3.714, 1.389, 15.419, 0.00e+00, 0.00e+00, 3.06, 28.249, 10.511, 0.027, 0.225, 9029.07)
output_full_group4-Amil_process2_30-5-25	Run 2	-25574.31	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.654, 1.226, 2.635, 1.039, 12.532, 0.00e+00, 0.00e+00, 2.394, 21.568, 8.234, 0.036, 0.283, 11644.67)
output_full_group4-Amil_process2_30-5-25	Run 4	-25624.29	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.573, 1.729, 2.389, 1.0, 12.126, 0.00e+00, 0.00e+00, 2.149, 20.105, 7.749, 0.041, 0.302, 12604.54)
output_full_group4-Amil_process2_30-5-25	Run 1	-25630.97	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(29.46, 1.361, 2.493, 0.949, 6.593, 0.00e+00, 0.00e+00, 2.256, 20.461, 7.751, 0.032, 0.334, 12539.70)
output_full_group4-Amil_process2_30-5-25	Run 7	-25651.56	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.971, 1.278, 1.832, 0.756, 8.262, 0.00e+00, 0.00e+00, 1.863, 16.882, 6.385, 0.043, 0.377, 15076.06)
output_full_group1-group4_process4_30-5-25	Run 4	-12115.24	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.377, 36.452, 5.0, 0.835, 43.947, 0.00e+00, 0.748, 0.962, 13.818, 24.013, 0.493, 0.1, 7663.73)
output_full_group1-group4_process4_30-5-25	Run 2	-12846.17	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.584, 0.097, 1.921, 2.1, 37.947, 0.00e+00, 0.115, 0.883, 16.841, 25.467, 0.475, 0.126, 7144.16)
output_full_group1-group4_process4_30-5-25	Run 8	-12847.21	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.108, 0.698, 2.015, 2.206, 35.274, 0.00e+00, 0.111, 0.946, 18.084, 27.428, 0.434, 0.126, 6833.81)
output_full_group1-group4_process4_30-5-25	Run 7	-12858.56	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.476, 1.104, 1.928, 2.488, 35.833, 0.00e+00, 0.047, 0.88, 18.164, 25.483, 0.438, 0.175, 7051.31)
output_full_group1-group4_process4_30-5-25	Run 5	-12879.18	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.252, 0.976, 2.062, 2.712, 32.787, 0.00e+00, 0.048, 0.951, 19.777, 28.716, 0.4, 0.159, 6624.32)
output_full_group2-group4_process1_30-5-25	Run 4	-12799.97	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.839, 0.983, 2.214, 4.806, 38.116, 0.00e+00, 0.00e+00, 1.097, 21.469, 29.381, 0.452, 0.1, 6324.59)
output_full_group2-group4_process1_30-5-25	Run 8	-12859.77	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.084, 1.018, 2.487, 4.439, 42.531, 0.00e+00, 0.00e+00, 1.416, 24.963, 34.779, 0.381, 0.077, 5461.64)
output_full_group2-group4_process1_30-5-25	Run 1	-12863.60	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.477, 0.533, 2.124, 3.744, 39.558, 0.00e+00, 0.00e+00, 1.175, 20.101, 30.797, 0.49, 0.077, 6320.68)
output_full_group2-group4_process1_30-5-25	Run 5	-12869.88	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.968, 11.401, 2.081, 3.892, 49.969, 0.00e+00, 0.00e+00, 1.143, 20.288, 26.977, 0.474, 0.099, 6452.31)
output_full_group2-group4_process1_30-5-25	Run 3	-12897.92	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(3.157, 0.997, 2.215, 3.573, 42.385, 0.00e+00, 0.00e+00, 1.385, 22.446, 31.964, 0.43, 0.073, 5875.35)
output_full_group4-Amil_process7_30-5-25	Run 4	-25547.15	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.443, 1.453, 2.973, 1.16, 13.723, 0.00e+00, 0.00e+00, 2.515, 23.404, 8.755, 0.033, 0.271, 10872.15)
output_full_group4-Amil_process7_30-5-25	Run 2	-25547.98	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(11.515, 4.013, 2.861, 1.127, 13.129, 0.00e+00, 0.00e+00, 2.481, 23.031, 8.619, 0.034, 0.274, 11070.34)
