Pop	Model	Folds	log-likelihood	AIC	chi-squared	theta	optimised_params(nu1, nu2, F1, F2, m, T1, T2)
AG1-AL1	anc_mig	1	-432.32	878.64	330.03	92.97	2.125,2.9121,0.0028,0.0042,0.0951,3.276,0.0022
AG1-AL1	anc_mig	1	-432.32	878.64	330.05	92.5	2.1345,2.9257,0.0009,0.0166,0.0948,3.2987,0.0015
AG1-AL1	anc_mig	1	-432.38	878.76	329.55	89.8	2.1965,3.008,0.0785,0.0683,0.0939,3.4305,0.001
AG1-AL1	anc_mig	1	-439.7	893.4	329.97	194.23	0.8939,85.5302,0.0004,0.3872,0.1126,1.6712,0.001
AG1-AL1	anc_mig	1	-441.02	896.04	336.93	198.16	0.9196,34.8495,0.0247,0.0129,0.0895,1.5248,0.001
AG1-AL1	anc_mig	1	-500.82	1015.64	645.21	240.07	0.8917,72.2991,0.0061,0.0443,6.8488,0.001,0.9195
AG1-AL1	anc_mig	1	-439.7	893.4	330.07	193.92	0.8969,84.4738,0.002,0.3913,0.1124,1.6705,0.001
AG1-AL1	sec_cont	1	-431.19	876.38	330.64	131.8	1.5311,2.1785,0.0,0.0269,0.1388,1.1073,0.786
AG1-AL1	sec_cont	1	-427.16	868.32	304.35	206.73	0.8227,76.7363,0.1501,0.3647,0.2752,1.2283,0.1715
AG1-AL1	sec_cont	1	-431.07	876.14	330.47	126.29	1.5936,2.2718,0.108,0.1222,0.1414,1.2204,0.8003
AG1-AL1	sec_cont	1	-431.24	876.48	331.87	121.35	1.6631,2.3412,0.0001,0.0,0.1274,1.1974,0.9671
AG1-AL1	sec_cont	1	-431.26	876.52	331.33	119.71	1.6806,2.3686,0.0,0.0024,0.1255,1.1972,1.0184
AG1-AL1	sec_cont	1	-427.03	868.06	307.77	201.17	0.8748,77.1515,0.0254,0.3587,0.2468,1.2782,0.1837
AG1-AL1	sec_cont	1	-427.07	868.14	307.76	201.24	0.8748,76.7832,0.0002,0.3579,0.2427,1.2737,0.1869
AG1-AL1	sec_cont	1	-426.92	867.84	307.21	201.16	0.873,76.7981,0.1517,0.3609,0.2667,1.2886,0.1702
AG1-AL1	sec_cont	1	-426.92	867.84	307.21	201.16	0.873,76.8059,0.1517,0.361,0.2666,1.2885,0.1702
AG1-AL2	iso_inbred	1	-954.61	1919.22	2085.57	341.94	0.0024,0.0031,0.8371,0.82,0.001
AG1-AL2	iso_inbred	1	-764.8	1539.6	2075.86	212.13	0.7997,100.0,0.6284,0.8734,0.6598
AG1-AL2	iso_inbred	3	-988.09	1986.18	5542.13	186.02	0.9692,2.3092,0.6155,0.9602,0.5234
AG1-AL2	iso_inbred	1	-670.26	1350.52	1031.58	212.76	0.7741,72.2549,0.0055,0.0001,0.6781
AG1-AL2	iso_inbred	1	-670.25	1350.5	1031.49	212.76	0.7742,72.2094,0.0013,0.0001,0.6782
AG1-AL2	mig_inbred	1	-584.45	1180.9	624.11	134.67	1.0662,1.8094,0.2071,0.1671,0.1913,1.3371
AG1-AL2	mig_inbred	1	-629.39	1270.78	772.59	180.2	0.7734,99.8365,0.7156,0.5042,0.1383,1.1063
AG1-AL2	mig_inbred	1	-778.67	1569.34	2123.88	188.19	1.0598,48.9613,0.5695,0.8838,0.001,0.7586
AG1-AL2	mig_inbred	1	-578.08	1168.16	687.91	67.1	2.3989,3.607,0.0004,0.0009,0.0928,3.6423
AG1-AL2	sec_cont	1	-931.34	1876.68	2271.36	126.02	0.6913,1.0432,0.8814,0.9194,0.4668,15.0,15.0
AG1-AL2	sec_cont	1	-576.35	1166.7	698.43	103.01	1.6122,2.4711,0.0054,0.0036,0.1516,1.1921,0.6947
AG1-AL2	sec_cont	1	-576.51	1167.02	700.83	88.97	1.8516,2.7763,0.0003,0.0142,0.1312,1.398,1.0018
AG1-AL2	sec_cont	1	-576.57	1167.14	707.63	82.65	1.9957,3.0152,0.0051,0.0113,0.1217,1.5171,1.1373
AG1-AL2	anc_mig	3	-580.83	1175.66	672.2	82.56	1.9014,3.003,0.0006,0.3687,0.1204,2.7568,0.001
AG1-AL2	anc_mig	2	-705.6	1425.2	1389.1	204.85	0.7483,33.3794,0.3248,0.7744,3.9596,0.001,0.5926
AG1-AL2	anc_mig	1	-578.52	1171.04	674.47	84.18	1.9104,2.8837,0.0027,0.0709,0.1159,2.6772,0.001
AG1-AL2	anc_mig	1	-579.5	1173.0	695.21	19.9	7.9498,11.985,0.0095,0.2581,0.0297,14.9164,0.0013
AG1-AL2	anc_mig	1	-578.15	1170.3	687.81	64.93	2.4741,3.7227,0.0009,0.0078,0.0904,3.8048,0.001
AG1-AL2	anc_mig	1	-581.0	1176.0	632.32	119.07	1.2844,2.0433,0.0027,0.1627,0.1679,1.6065,0.001
AG1-AL2	anc_mig	1	-578.82	1171.64	692.02	20.07	7.8722,11.8193,0.045,0.0951,0.0297,14.8403,0.007
AG1-AL2	anc_mig	1	-578.4	1170.8	694.74	59.11	2.7388,4.0379,0.0097,0.0572,0.082,4.2884,0.0017
AG1-AL2	anc_mig	1	-579.26	1172.52	698.59	19.74	7.9252,12.3305,0.0209,0.2144,0.0293,15.0,0.001
AG2-AL1	iso_inbred	1	-277.28	564.56	229.23	174.1	0.7667,42.6148,0.0177,0.0052,0.9599
AG2-AL1	mig_inbred	1	-261.4	534.8	187.05	95.77	1.3253,2.2609,0.4099,0.5288,0.1167,1.988
AG2-AL1	mig_inbred	1	-261.4	534.8	186.99	96.12	1.3208,2.2526,0.4088,0.5285,0.1169,1.9759
AG2-AL1	mig_inbred	1	-261.4	534.8	187.06	95.73	1.3261,2.2615,0.4096,0.5291,0.1166,1.9892
AG2-AL1	anc_mig	1	-261.54	537.08	188.52	54.57	2.2571,3.8558,0.0131,0.5034,0.084,4.3516,0.1083
AG2-AL1	anc_mig	1	-262.22	538.44	188.51	79.22	1.6001,2.5383,0.0125,0.0093,0.1179,2.6241,0.1111
AG2-AL1	anc_mig	1	-261.4	536.8	188.07	57.85	2.1585,3.6419,0.3427,0.5207,0.0854,4.0579,0.0562
AG2-AL1	anc_mig	1	-261.37	536.74	187.54	74.17	1.6862,2.8656,0.3251,0.5196,0.1052,2.907,0.0399
AG2-AL1	anc_mig	1	-261.4	536.8	187.03	95.07	1.334,2.2762,0.4077,0.5287,0.1166,2.0116,0.0011
AG2-AL1	anc_mig	1	-262.66	539.32	187.05	115.76	1.1203,1.7688,0.4095,0.194,0.1204,1.4339,0.0013
AG2-AL1	anc_mig	1	-262.27	538.54	182.42	129.36	0.9041,1.6714,0.1921,0.5119,0.1362,1.1826,0.001
AG2-AL1	anc_mig	1	-261.37	536.74	186.63	92.4	1.3664,2.3225,0.3599,0.5222,0.1192,2.0987,0.0164
AG2-AL1	sec_cont	1	-259.32	532.64	179.72	149.32	0.8335,87.8834,0.3593,0.6208,0.1651,1.19,0.2167
AG2-AL1	sec_cont	1	-259.43	532.86	180.75	149.56	0.8306,90.3807,0.0514,0.6192,0.1254,1.1223,0.2924
AG2-AL1	sec_cont	1	-259.45	532.9	180.81	149.66	0.8303,90.8417,0.0185,0.6188,0.1236,1.1192,0.2956
AG2-AL2	iso_inbred	1	-401.25	812.5	479.75	159.49	0.6913,41.8642,0.0008,0.0001,0.7879
AG2-AL2	iso_inbred	1	-401.25	812.5	479.7	159.49	0.6912,41.8201,0.0119,0.0001,0.7873
AG2-AL2	iso_inbred	1	-401.25	812.5	479.58	159.46	0.6917,41.8627,0.0267,0.0011,0.7871
AG2-AL2	anc_mig	1	-375.69	765.38	388.87	71.09	1.5763,3.0257,0.503,0.0201,0.1135,2.4716,0.0525
AG2-AL2	anc_mig	1	-375.68	765.36	389.22	67.73	1.6544,3.1644,0.505,0.0103,0.1098,2.6537,0.0576
AG2-AL2	mig_inbred	1	-376.24	764.48	396.51	85.9	1.3369,2.5504,0.5385,0.105,0.1105,1.8503
AL1-AL2	mig_inbred	1	-516.33	1044.66	385.35	201.04	26.8656,1.5747,0.4585,0.2986,0.4858,1.0087
AG1-AL2	anc_mig	1	-578.29	1170.58	697.53	35.26	4.4915,6.7854,0.0,0.0,0.0502,7.9796,0.0016
AG1-AL2	anc_mig	1	-584.87	1183.74	636.28	143.28	1.07,1.8639,0.0,0.001,0.1674,1.0809,0.001
AG1-AL2	mig_inbred	1	-582.7	1177.4	622.69	137.45	1.0492,1.7675,0.0147,0.0,0.1837,1.2868
AG1-AL2	mig_inbred	1	-582.13	1176.26	660.79	125.6	1.3863,1.9479,0.0001,0.0,0.1432,1.3489
AG1-AL2	mig_inbred	1	-582.38	1176.76	631.81	135.6	1.0792,1.8535,0.0275,0.0,0.1744,1.284
AL1-AL2	anc_mig	1	-516.31	1046.62	385.59	200.98	26.6307,1.5746,0.456,0.2863,0.4891,1.0059,0.0023
AG1-AG2	mig_inbred	1	-499.09	1010.18	591.89	141.06	2.9765,1.4004,0.0001,0.3974,1.0509,1.188
AG1-AG2	mig_inbred	1	-499.09	1010.18	591.91	141.06	2.9776,1.4001,0.0,0.3976,1.051,1.1878
AG1-AG2	mig_inbred	1	-499.09	1010.18	591.89	141.14	2.9756,1.3996,0.0001,0.3974,1.0514,1.1865
AG1-AG2	mig_inbred	1	-499.09	1010.18	591.87	141.07	2.976,1.4002,0.0,0.3974,1.0511,1.1878
AG1-AG2	iso_inbred	1	-695.39	1400.78	2137.98	310.07	0.0106,0.4588,0.4299,0.7506,0.001
AG2-AL2	mig_inbred	1	-376.28	764.56	397.4	88.01	1.3104,2.4942,0.5363,0.0017,0.1099,1.777
AG1-AG2	iso_inbred	1	-570.51	1151.02	1067.08	241.29	2.4592,148.6975,0.0,0.6447,0.3836
AG1-AG2	iso_inbred	1	-558.59	1127.18	1170.94	239.62	2.1167,149.9982,0.0,0.012,0.4149
AG2-AL2	mig_inbred	1	-376.8	765.6	381.85	105.58	1.0253,2.0899,0.5091,0.0,0.1264,1.3124
AG2-AL2	mig_inbred	1	-376.24	764.48	396.51	85.9	1.3369,2.5504,0.5385,0.105,0.1105,1.8503
AL1-AL2	anc_mig	1	-516.57	1047.14	387.02	199.49	28.5637,1.6082,0.4551,0.1553,0.4577,1.0291,0.001
AG2-AL2	sec_cont	1	-375.64	765.28	398.12	92.7	1.2649,2.4202,0.5507,0.159,0.1271,0.8689,0.7185
AG1-AG2	iso_inbred	1	-1096.7	2203.4	15935.29	222.94	145.2716,69.5725,0.92,0.9479,1.4747
AG2-AL2	mig_inbred	1	-376.24	764.48	396.82	85.69	1.3419,2.5562,0.5385,0.1019,0.1102,1.8572
AG2-AL2	mig_inbred	1	-376.24	764.48	397.05	85.37	1.3464,2.5647,0.5381,0.0994,0.1099,1.8689
AG2-AL2	mig_inbred	1	-376.24	764.48	396.57	85.89	1.337,2.551,0.5388,0.1046,0.1105,1.8505
AG1-AG2	iso_inbred	1	-561.55	1133.1	1239.31	239.43	2.1881,150.0,0.3568,0.0688,0.3956
AG2-AL2	sec_cont	1	-375.65	765.3	399.68	92.75	1.2526,2.4274,0.5485,0.141,0.1245,0.8383,0.75
AL1-AL2	anc_mig	1	-516.27	1046.54	385.56	200.34	26.8885,1.5585,0.4569,0.2433,0.5085,1.0108,0.0096
AL1-AL2	iso_inbred	1	-681.6	1373.2	835.73	270.15	2.9792,150.0,0.5611,0.852,0.6778
AG2-AL2	sec_cont	1	-375.75	765.5	399.34	94.06	1.2516,2.3833,0.5458,0.0084,0.1227,0.8159,0.736
AL1-AL2	iso_inbred	1	-551.27	1112.54	467.37	264.55	7.5293,1.9736,0.027,0.0088,0.4263
AL1-AL2	iso_inbred	1	-551.26	1112.52	467.64	264.47	7.575,1.9756,0.0328,0.0,0.4267
AL1-AL2	iso_inbred	1	-551.26	1112.52	467.64	264.47	7.575,1.9755,0.033,0.0,0.4267
AG1-AG2	sec_cont	1	-497.26	1008.52	536.8	148.16	2.9141,1.4321,0.0,0.4585,1.2649,0.6497,0.3778
AG1-AG2	sec_cont	1	-497.26	1008.52	536.83	148.15	2.9136,1.4322,0.0,0.4584,1.265,0.6499,0.3778
AG1-AL1	iso_inbred	1	-502.23	1014.46	664.76	230.16	0.9741,44.4664,0.0,0.0,0.9895
AG1-AL1	iso_inbred	1	-500.02	1010.04	615.34	246.23	0.8433,42.5281,0.0,0.0127,0.8423
AG1-AL1	iso_inbred	1	-500.02	1010.04	615.32	246.24	0.8433,42.5229,0.0001,0.0127,0.8422
AG1-AL1	iso_inbred	1	-511.04	1032.08	745.84	213.56	1.1386,150.0,0.1819,0.18,1.1762
AG2-AL1	iso_inbred	1	-277.29	564.58	229.29	174.15	0.7663,47.2213,0.0002,0.0281,0.9611
AG2-AL1	iso_inbred	1	-277.28	564.56	229.24	174.12	0.7664,43.0734,0.0001,0.0073,0.9605
AG2-AL1	iso_inbred	1	-277.28	564.56	229.23	174.09	0.7667,41.7097,0.0,0.0,0.9604
AG2-AL1	mig_inbred	1	-261.4	534.8	187.04	95.75	1.3256,2.2615,0.4102,0.5291,0.1167,1.9885
AG2-AL2	iso_inbred	1	-401.25	812.5	479.67	159.49	0.6914,41.8264,0.0112,0.0,0.7875
AG1-AL1	iso_inbred	1	-500.02	1010.04	615.32	246.24	0.8433,42.5139,0.0002,0.0127,0.8422
AG2-AL1	sec_cont	1	-259.32	532.64	179.71	149.33	0.8335,87.9235,0.3591,0.6207,0.1651,1.19,0.2167
AG2-AL2	sec_cont	1	-375.89	765.78	401.33	79.37	1.4568,2.7587,0.5505,0.1673,0.1112,0.8635,1.2179
AG2-AL2	iso_inbred	1	-401.24	812.48	479.69	159.48	0.6916,41.8206,0.0164,0.0,0.7875
AG2-AL2	anc_mig	1	-375.92	765.84	382.22	89.82	1.2189,2.4441,0.4931,0.0,0.1332,1.7162,0.0358
AG2-AL2	anc_mig	1	-375.74	765.48	385.71	80.41	1.3913,2.7018,0.5177,0.0,0.1238,2.0479,0.0433
AG2-AL2	anc_mig	1	-375.68	765.36	389.36	68.37	1.6396,3.1375,0.5037,0.0,0.1104,2.6167,0.057
AG2-AL2	anc_mig	1	-375.68	765.36	389.18	68.4	1.639,3.136,0.5043,0.0,0.1105,2.6159,0.0569
AG2-AL2	sec_cont	1	-375.64	765.28	398.18	93.64	1.2574,2.4026,0.5534,0.1675,0.1286,0.8767,0.6789
AG2-AL2	sec_cont	1	-375.66	765.32	398.47	90.14	1.2975,2.4739,0.5501,0.1319,0.1223,0.843,0.8304
AG1-AL2	mig_inbred	1	-578.08	1168.16	687.49	68.47	2.3532,3.5378,0.0,0.0005,0.0944,3.5454
AG1-AG2	iso_inbred	1	-558.54	1127.08	1181.93	239.5	2.1214,149.9999,0.0045,0.0,0.4158
AG1-AG2	iso_inbred	1	-558.54	1127.08	1183.16	239.56	2.1203,149.9934,0.0,0.0006,0.4156
AG1-AL2	mig_inbred	1	-578.18	1168.36	695.23	42.31	3.7811,5.6458,0.0,0.0026,0.0601,6.4495
AG1-AG2	snm	1	-1439.64	2881.28	21243193319.75	274.15	0.5315
AG1-AL1	snm	1	-4749.77	9501.54	2938576414270.92	274.38	0.8027
AG1-AL2	snm	1	-5704.04	11410.08	343080458420849.3	239.98	1.0718
AG2-AL2	snm	1	-3675.26	7352.52	2590840522576.71	192.82	1.0453
AG2-AL1	snm	1	-3030.29	6062.58	530065380060.24	196.45	0.75
AL1-AL2	snm	1	-1972.53	3947.06	5253114.52	312.48	0.8536
AG1-AG2	snm	1	-1439.64	2881.28	21243193319.75	274.15	1.1151
AG1-AG2	snm	3	-1439.64	2881.28	21243193319.75	274.15	1.6105
AG1-AL1	snm	1	-4749.77	9501.54	2938576414270.92	274.38	1.2849
AG1-AL1	snm	3	-4749.77	9501.54	2938576414270.92	274.38	0.6897
AL1-AL2	snm	1	-1972.53	3947.06	5253114.52	312.48	1.1019
AL1-AL2	snm	3	-1972.53	3947.06	5253114.52	312.48	0.706
AG1-AL2	snm	1	-5704.04	11410.08	343080458420849.3	239.98	0.6485
AG1-AL2	snm	3	-5704.04	11410.08	343080458420849.3	239.98	0.4188
AG2-AL1	snm	1	-3030.29	6062.58	530065380060.24	196.45	1.36
AG2-AL1	snm	3	-3030.29	6062.58	530065380060.24	196.45	0.1262
AG2-AL2	snm	1	-3675.26	7352.52	2590840522576.71	192.82	1.1447
AG2-AL2	snm	3	-3675.26	7352.52	2590840522576.71	192.82	0.3548
AG1-AG2	mig_be	3	-910.28	1840.56	3157.63	297.64	1.1018,5.3583,0.5545,149.7554,0.9133,0.9035,0.0012,5.8534,0.0938,0.0061
AG1-AG2	mig_be	1	-497.06	1014.12	556.73	75.19	3.477,1.4163,6.2973,3.1239,0.0,0.4523,0.1251,0.5582,2.4252,1.1644
AG1-AG2	mig_be	1	-498.26	1016.52	591.62	130.95	2.1217,0.7357,3.8361,1.7604,0.005,0.4177,0.8884,0.8823,0.9539,0.67
AG1-AG2	mig_be	1	-498.21	1016.42	577.0	113.93	1.2276,0.6332,3.9529,1.95,0.0,0.4499,0.001,0.8159,0.835,1.2066
AG1-AG2	mig_be	1	-498.63	1017.26	628.38	157.38	1.042,0.1939,2.7986,1.3025,0.0,0.4075,1.5907,1.1528,0.9875,0.9061
AG1-AG2	sec_cont	1	-497.26	1008.52	536.86	148.16	2.9137,1.4321,0.0008,0.4586,1.2656,0.6499,0.3775
AG1-AG2	mig_be	1	-497.12	1014.24	561.98	94.87	2.6804,1.0751,5.3098,2.5118,0.0,0.4518,0.2203,0.6811,1.7379,0.9168
AG1-AG2	mig_be	1	-497.26	1014.52	575.46	88.76	3.2477,0.8604,5.0969,2.529,0.0,0.4478,0.001,0.6748,1.6448,1.1699
AG1-AG2	mig_be	1	-497.63	1015.26	565.89	119.02	1.8251,1.1557,3.7049,1.9138,0.0203,0.4448,0.001,0.8962,0.9023,0.8512
AG1-AG2	mig_be	1	-496.76	1013.52	534.41	88.7	3.2095,1.546,11.3361,3.3423,0.0,0.4596,0.5128,0.4859,2.4538,0.6071
AG2-AL1	mig_be	1	-281.33	582.66	213.51	130.65	72.5791,1.7164,110.5583,1.1649,0.7164,0.6304,0.001,0.0787,0.119,1.6675
AG2-AL1	mig_be	1	-260.36	540.72	193.59	72.89	0.7764,1.4518,2.0077,3.3712,0.542,0.5805,0.0277,0.0976,1.1199,1.9911
AG2-AL1	mig_be	1	-260.35	540.7	192.7	60.91	0.4385,1.1207,2.4682,4.154,0.5478,0.5777,0.0084,0.085,1.2891,2.7545
AG1-AL1	mig_be	1	-416.94	853.88	299.45	128.56	0.5952,1.3076,2.6442,4.4039,0.0,0.0003,0.2992,0.0743,1.6959,0.8641
AG1-AL1	mig_be	1	-420.21	860.42	295.76	108.99	0.7324,1.0097,2.7432,5.3962,0.0648,0.1506,0.316,0.0714,2.514,1.1574
AG2-AL1	mig_be	1	-261.7	543.4	185.1	110.65	0.1757,1.1971,1.2003,1.8951,0.5315,0.4857,9.9997,0.1354,0.2218,1.6326
AG1-AG2	mig_inbred	1	-499.09	1010.18	591.91	141.14	2.9755,1.3997,0.0,0.3974,1.0514,1.1865
AG1-AG2	iso_inbred	1	-558.57	1127.14	1182.94	239.96	2.1095,149.9965,0.0,0.0081,0.4125
